qid	doc_id
q01	2
q01	8
q01	11
q01	15
q01	21
q01	23
q01	24
q01	27
q01	29
q01	44
q01	45
q01	49
q01	56
q01	76
q01	79
q01	82
q01	83
q01	85
q01	88
q01	90
q01	95
q01	97
q01	109
q01	110
q01	119
q01	120
q01	124
q01	126
q01	130
q01	133
q01	137
q01	141
q01	143
q01	151
q01	157
q01	163
q01	174
q01	180
q01	181
q01	182
q01	191
q01	194
q01	197
q01	199
q01	213
q01	220
q01	221
q01	229
q01	230
q01	239
q01	248
q01	255
q01	257
q01	258
q01	260
q01	265
q01	268
q01	269
q01	272
q01	282
q01	283
q01	293
q01	294
q01	298
q01	306
q01	312
q01	313
q01	317
q01	323
q01	331
q01	339
q01	346
q01	350
q01	355
q01	357
q01	362
q01	370
q01	377
q01	378
q01	380
q01	390
q01	398
q01	401
q01	411
q01	419
q01	425
q01	428
q01	429
q01	432
q01	433
q01	435
q01	439
q01	443
q01	455
q01	467
q01	471
q01	498
q01	501
q01	506
q01	508
q01	686
q01	1053
q01	1248
q01	1270
q01	1356
q01	1845
q01	1955
q01	1999
q01	2203
q02	6
q02	75
q02	100
q02	101
q02	105
q02	120
q02	153
q02	164
q02	165
q02	213
q02	239
q02	252
q02	283
q02	291
q02	293
q02	327
q02	415
q02	486
q02	487
q02	896
q02	898
q02	900
q02	902
q02	903
q02	904
q02	906
q02	908
q02	916
q02	917
q02	931
q02	932
q02	936
q02	937
q02	938
q02	949
q02	950
q02	954
q02	957
q02	962
q02	964
q02	972
q02	974
q02	977
q02	978
q02	981
q02	983
q02	987
q02	988
q02	991
q02	994
q02	1000
q02	1002
q02	1005
q02	1006
q02	1007
q02	1017
q02	1020
q02	1021
q02	1023
q02	1029
q02	1037
q02	1038
q02	1042
q02	1043
q02	1044
q02	1048
q02	1052
q02	1054
q02	1070
q02	1081
q02	1084
q02	1089
q02	1091
q02	1096
q02	1102
q02	1107
q02	1108
q02	1112
q02	1113
q02	1120
q02	1129
q02	1130
q02	1131
q02	1133
q02	1140
q02	1144
q02	1145
q02	1146
q02	1147
q02	1148
q02	1149
q02	1150
q02	1151
q02	1152
q02	1153
q02	1154
q02	1155
q02	1156
q02	1157
q02	1159
q02	1161
q02	1162
q02	1163
q02	1165
q02	1166
q02	1167
q02	1168
q02	1169
q02	1170
q02	1171
q02	1172
q02	1173
q02	1176
q02	1177
q02	1178
q02	1179
q02	1180
q02	1181
q02	1183
q02	1184
q02	1187
q02	1188
q02	1189
q02	1190
q02	1192
q02	1193
q02	1197
q02	1198
q02	1199
q02	1200
q02	1201
q02	1202
q02	1204
q02	1206
q02	1207
q02	1208
q02	1209
q02	1215
q02	1216
q02	1217
q02	1218
q02	1220
q02	1221
q02	1224
q02	1226
q02	1227
q02	1228
q02	1229
q02	1230
q02	1231
q02	1232
q02	1233
q02	1234
q02	1235
q02	1237
q02	1238
q02	1239
q02	1240
q02	1241
q02	1242
q02	1243
q02	1244
q02	1245
q02	1246
q02	1247
q02	1248
q02	1249
q02	1251
q02	1252
q02	1254
q02	1255
q02	1256
q02	1257
q02	1258
q02	1259
q02	1262
q02	1267
q02	1270
q02	1274
q02	1275
q02	1277
q02	1278
q02	1282
q02	1285
q02	1286
q02	1289
q02	1290
q02	1291
q02	1292
q02	1293
q02	1294
q02	1295
q02	1296
q02	1297
q02	1298
q02	1299
q02	1300
q02	1301
q02	1302
q02	1303
q02	1304
q02	1305
q02	1306
q02	1307
q02	1308
q02	1309
q02	1310
q02	1311
q02	1312
q02	1698
q02	1824
q02	1922
q02	1924
q02	1946
q02	1974
q02	1980
q02	2031
q02	2085
q03	0
q03	111
q03	123
q03	251
q03	1004
q03	1828
q03	1834
q03	1841
q03	1844
q03	1846
q03	1855
q03	1870
q03	1881
q03	1893
q03	1896
q03	1910
q03	1916
q03	1917
q03	1930
q03	1952
q03	1957
q03	1959
q03	1969
q03	1973
q03	1981
q03	1986
q03	1991
q03	1993
q03	1997
q03	1998
q03	2007
q03	2011
q03	2013
q03	2027
q03	2028
q03	2039
q03	2044
q03	2058
q03	2063
q03	2064
q03	2077
q03	2084
q03	2085
q03	2087
q03	2088
q03	2090
q03	2103
q03	2108
q03	2114
q03	2123
q03	2124
q03	2127
q03	2128
q03	2136
q03	2139
q03	2150
q03	2151
q03	2158
q03	2160
q03	2170
q03	2172
q03	2173
q03	2175
q03	2176
q03	2180
q03	2184
q03	2188
q03	2189
q03	2206
q03	2207
q03	2215
q03	2217
q04	39
q04	1078
q04	1141
q04	1409
q04	1413
q04	1414
q04	1415
q04	1416
q04	1422
q04	1423
q04	1424
q04	1426
q04	1430
q04	1433
q04	1435
q04	1437
q04	1451
q04	1452
q04	1453
q04	1466
q04	1471
q04	1473
q04	1474
q04	1477
q04	1479
q04	1480
q04	1481
q04	1484
q04	1486
q04	1487
q04	1489
q04	1493
q04	1494
q04	1495
q04	1496
q04	1498
q04	1504
q04	1509
q04	1511
q04	1513
q04	1515
q04	1517
q04	1521
q04	1529
q04	1530
q04	1538
q04	1539
q04	1540
q04	1543
q04	1544
q04	1547
q04	1549
q04	1551
q04	1554
q04	1555
q04	1558
q04	1560
q04	1563
q04	1564
q04	1567
q04	1577
q04	1578
q04	1580
q04	1586
q04	1590
q04	1591
q04	1592
q04	1594
q04	1967
q05	521
q05	537
q05	543
q05	544
q05	548
q05	550
q05	552
q05	554
q05	558
q05	562
q05	565
q05	568
q05	570
q05	571
q05	574
q05	575
q05	576
q05	577
q05	580
q05	582
q05	583
q05	587
q05	590
q05	591
q05	593
q05	595
q05	596
q05	597
q05	598
q05	604
q05	606
q05	608
q05	611
q05	694
q05	773
q05	789
q05	815
q05	817
q05	823
q05	832
q05	833
q05	834
q05	835
q05	836
q05	837
q05	842
q05	844
q05	846
q05	849
q05	850
q05	856
q05	859
q05	861
q05	863
q05	865
q05	866
q05	867
q05	868
q05	870
q05	872
q05	873
q05	874
q05	876
q05	877
q05	878
q05	879
q05	880
q05	881
q05	882
q05	886
q05	887
q05	889
q05	892
q05	894
q05	907
q06	5
q06	6
q06	7
q06	15
q06	21
q06	22
q06	23
q06	28
q06	29
q06	30
q06	34
q06	40
q06	43
q06	45
q06	49
q06	51
q06	54
q06	56
q06	65
q06	71
q06	72
q06	75
q06	76
q06	83
q06	85
q06	88
q06	92
q06	93
q06	96
q06	97
q06	100
q06	106
q06	109
q06	118
q06	120
q06	124
q06	125
q06	133
